NUM,L1_DCM,L2_TCM,L3_TCM
497,103672261.2,15438285.1,58847.9
498,96770564.8,15517248.5,68670.3
499,106363001.3,15610208.2,88933.2
500,102636695.8,15690940.0,97460.1
501,103639962.4,15793352.7,108273.5
502,112391492.5,15929773.4,80629.4
503,102729370.5,15963215.5,279469.0
504,114618775.1,16126917.7,411527.0
505,108459884.4,16240583.5,103675.0
506,93934581.4,16288020.8,96344.8
507,90522845.5,16367082.6,84620.3
508,73932828.6,16464054.0,56355.4
509,62454590.9,16550062.5,83483.9
510,61297548.5,16676361.9,177718.1
511,39643811.5,16703236.2,139968.7
512,135054128.1,134205622.4,2106144.5
513,73866184.7,18154273.2,224293.0
514,72568045.0,17109958.0,217726.6
515,77547947.2,17184159.6,159797.3
516,87393597.7,17250096.4,79676.3
517,101710623.7,17345761.9,197832.6
518,122871631.8,17452181.7,112935.0
519,126325333.4,17541056.7,122255.4
520,141606673.4,17641372.5,93406.5
521,143399064.8,17830896.8,120000.5
522,136792394.8,17865395.9,94324.5
523,123172432.3,17964258.0,117366.3
524,146754361.8,18089816.8,189143.3
525,142066344.8,18211664.9,534681.1
526,149211694.5,18280695.8,144650.4
527,126765243.3,18367590.1,154656.0
528,157111107.6,18523068.8,156625.6
529,127930721.2,18602724.9,196622.7
530,153791847.6,18723717.2,95779.0
531,165572357.2,19145166.8,406574.4
532,155428600.4,18888900.0,203136.4
533,157238935.9,19143016.9,561111.2
534,149531398.2,19118735.0,160010.5
535,137139805.4,19211281.2,218974.6
536,161183588.3,19263885.6,792964.4
537,168429584.7,19577537.0,288560.2
538,163289298.1,19554131.1,486586.7
539,174168520.4,19867095.6,184526.0
540,166445184.5,19754581.4,138086.2
541,169908166.8,20005477.4,135340.5
542,141275788.3,19991387.6,182617.7
543,126637072.5,20090971.2,213740.1
544,166885843.1,31280419.8,224075.2
545,126085261.4,20303891.4,204623.6
546,145193756.1,20440107.9,125772.0
547,171516335.2,20535104.2,207558.0
548,176977866.1,20650673.0,169431.6
549,167717425.3,20759033.1,193109.1
550,181198358.7,20937451.2,546886.5
