NUM,L1_DCM,L2_TCM,L3_TCM
267,2385764.1,115935.5,192.8
268,2412793.5,117130.2,306.6
269,2439739.1,110189.1,94.0
270,2467004.7,117078.1,78.2
271,2494324.0,119283.1,78.6
272,2522104.8,121095.6,176.2
273,2549844.7,121656.3,99.0
274,2578209.7,122695.5,92.9
275,2607363.5,124238.5,194.2
276,2635950.6,124801.5,81.4
277,2665307.2,125905.2,90.7
278,2694621.1,126974.8,190.9
279,2723840.0,128022.5,83.8
280,2752826.6,129350.0,85.6
281,2782231.8,130503.5,204.2
282,2811337.0,131974.8,186.0
283,2841255.2,132691.2,79.9
284,2871336.5,134009.3,217.6
285,2902208.5,135532.7,89.5
286,2933373.0,135461.3,77.1
287,2965179.5,137336.4,207.4
288,2995043.8,139016.1,93.6
289,3027407.7,139759.6,188.2
290,3058141.7,141013.8,203.4
291,3089169.8,141946.6,91.5
292,3120947.5,142542.4,94.0
293,3154169.3,145024.3,227.0
294,3187124.5,145742.5,102.1
295,3220198.5,146779.6,112.4
296,3252749.4,146758.5,300.1
297,3285025.1,148815.7,109.0
298,3317589.2,150820.6,309.7
299,3351217.0,151687.7,117.1
300,3385811.9,151825.2,103.0
301,3421196.2,155290.1,220.7
302,3454239.0,152056.6,100.8
303,3487804.9,157327.1,91.5
304,3521697.8,158943.0,240.4
305,3557396.2,158938.8,147.8
306,3593630.5,160015.4,471.8
307,3629130.4,161788.2,210.6
308,3663947.0,163997.1,937.8
309,3698812.4,164531.4,213.1
310,3735373.5,165551.5,117.9
311,3773232.6,166969.7,254.2
312,3809054.9,167934.5,124.8
313,3844707.0,169364.9,253.3
314,3881137.3,171146.9,142.6
315,3919573.8,172434.5,124.2
316,3958241.7,173302.8,259.2
317,3994528.9,175143.3,237.0
318,4031536.4,176262.5,394.0
319,4070617.0,178105.1,911.7
320,4109630.6,180365.5,530.5
321,4148074.4,181310.4,285.2
322,4185543.3,181357.2,237.6
323,4225692.8,182273.2,144.2
324,4266259.0,183777.4,281.5
325,4304010.9,185726.2,148.8
326,4343417.8,187345.7,230.4
327,4385637.1,189033.5,261.1
328,4425359.1,189750.3,178.1
329,4464295.1,191283.2,502.7
330,4505669.9,192289.8,152.0
331,4548646.5,193925.8,440.5
332,4588311.4,195503.1,171.2
333,4629317.6,198011.9,304.4
334,4673182.9,197629.7,208.7
335,4714216.3,200401.4,282.2
336,4754963.6,201914.0,350.6
337,4799704.5,203060.7,179.9
338,4842601.2,205093.2,352.0
339,4883776.3,198577.3,197.0
340,4928278.1,207535.6,319.9
341,4973386.0,209286.8,160.8
342,5015470.4,210985.2,382.3
343,5060998.0,214124.5,382.0
344,5106010.9,214012.2,1316.7
345,5147888.0,214735.5,203.9
346,5195293.5,216623.2,403.4
347,5239506.1,218831.6,332.1
348,5283612.9,215606.7,205.0
349,5332113.7,221499.4,348.4
350,5375878.1,222768.9,232.9
351,5421725.2,224909.5,431.5
352,5470259.6,226880.4,271.9
353,5515023.2,228753.2,398.1
354,5562868.0,229282.9,447.8
355,5610954.9,230364.8,223.6
356,5656411.7,231092.1,363.7
357,5707484.1,233879.0,245.8
358,5752410.9,235410.5,395.1
359,5801607.3,238915.7,424.0
360,5851490.1,234401.3,296.5
361,5898094.5,239593.2,448.9
362,5951056.6,240736.1,516.8
363,5996852.8,243991.7,263.4
364,6048087.1,244816.6,515.9
365,6097904.4,246650.7,410.9
366,6147047.5,247001.8,281.7
367,6200373.2,250280.7,594.6
368,6247859.0,252289.9,451.7
369,6303088.6,254171.0,372.5
370,6350595.1,255436.2,454.9
371,6404830.1,256601.7,444.0
372,6454587.1,259501.3,316.6
373,6507621.8,260458.3,475.4
374,6560278.3,264457.9,535.9
375,6612185.5,263491.4,300.1
376,6667078.1,264948.9,675.0
377,6718305.0,267740.4,707.0
378,6774775.3,269278.6,2095.2
379,6825640.2,271180.2,2095.1
380,6883877.4,271854.0,1352.8
381,6934298.9,273638.0,575.0
382,6992362.7,274867.3,374.4
